Problem,n,Method,Case,h_mode,k_fd,tol,start_type,point_id,run_id,GradNorm,Iterations,MaxIterations,InnerMaxIterations,Success,flag,ConvergenceRate,TimeSeconds,FinalF,PathLen,LastStep
p31,2,nm,Full FD,scalar,8.0,1e-06,initial,xbar,49,1.0575664909188356e-07,1000,1000,,True,-,2.013043157415095,0.004523038864135742,5.461812535576639e-16,6,8.262339120191374e-05
p31,2,tr,Full FD,scalar,8.0,1e-06,initial,xbar,49,5.061605866767171e-10,7,1000,1000.0,True,-,13.727706696837394,0.0031099319458007812,1.2519845853032319e-20,8,6.717906003739802e-06
p31,2,nm,Full FD,scalar,8.0,1e-06,random,rand1,50,1.2370987277637728e-09,1000,1000,,True,-,2.1174787727481106,0.004294872283935547,7.04080434640218e-20,7,9.257543208254317e-06
p31,2,tr,Full FD,scalar,8.0,1e-06,random,rand1,50,2.107236242454049e-07,7,1000,1000.0,True,-,1.9270900785828444,0.03315114974975586,1.7757884034333032e-15,8,0.00012554290700994992
p31,2,nm,Full FD,scalar,8.0,1e-06,random,rand2,51,1.8385404629631702e-09,1000,1000,,True,-,2.1635568719165486,0.011829137802124023,1.265917097346084e-19,6,1.0062977256832818e-05
p31,2,tr,Full FD,scalar,8.0,1e-06,random,rand2,51,5.080587214220856e-13,7,1000,1000.0,True,-,1.9929806488536252,0.003228902816772461,1.1406437192174023e-26,8,1.9406054853110105e-07
p31,2,nm,Full FD,scalar,8.0,1e-06,random,rand3,52,7.76732635551393e-12,1000,1000,,True,-,1.964602747864425,0.005730867385864258,2.670980134196997e-24,7,7.092262215472011e-07
p31,2,tr,Full FD,scalar,8.0,1e-06,random,rand3,52,7.465604856289852e-13,6,1000,1000.0,True,-,2.0327277197155937,0.002689838409423828,2.7173108904218795e-26,7,2.28977580832342e-07
p31,2,nm,Full FD,scalar,8.0,1e-06,random,rand4,53,2.5127782882461275e-07,1000,1000,,True,-,2.01184478426557,0.0036492347717285156,3.002494934587066e-15,7,0.0001304680651018322
p31,2,tr,Full FD,scalar,8.0,1e-06,random,rand4,53,3.0367744483234805e-09,6,1000,1000.0,True,-,2.03107416008771,0.0032498836517333984,4.1475240833742387e-19,7,1.5433259630602685e-05
p31,2,nm,Full FD,scalar,8.0,1e-06,random,rand5,54,3.816192780864439e-11,1000,1000,,True,-,2.1234487356232976,0.0050201416015625,6.235503959443507e-23,7,1.592486957550799e-06
p31,2,tr,Full FD,scalar,8.0,1e-06,random,rand5,54,2.1773781409517732e-09,7,1000,1000.0,True,-,2.0772960281582393,0.003505706787109375,2.161010181937589e-19,8,1.2347142520995367e-05
p31,2,nm,Full FD,scalar,12.0,1e-06,initial,xbar,55,0.00018598390435379218,1000,1000,,False,LS,-0.0,0.03973722457885742,0.3143832313146333,53,6.268319197033634e-13
p31,2,tr,Full FD,scalar,12.0,1e-06,initial,xbar,55,8.004642515413285e-05,999,1000,1000.0,False,MAX,,0.5451850891113281,0.31438322422197645,1001,0.0
p31,2,nm,Full FD,scalar,12.0,1e-06,random,rand1,56,4.5629444186002155e-10,1000,1000,,True,-,5.066953939236132,0.014402151107788086,6.278722382408507e-21,22,9.758845535835602e-07
p31,2,tr,Full FD,scalar,12.0,1e-06,random,rand1,56,7.221150949519623e-07,24,1000,1000.0,True,-,38.884171651147355,0.011032819747924805,1.628126302201358e-14,25,1.6893283512670406e-07
p31,2,nm,Full FD,scalar,12.0,1e-06,random,rand2,57,9.237612916079477e-07,1000,1000,,True,-,0.4798860549955592,0.016716957092285156,2.614382599004868e-14,27,2.9667267041461458e-08
p31,2,tr,Full FD,scalar,12.0,1e-06,random,rand2,57,1.1279437798070344e-10,14,1000,1000.0,True,-,0.9173633768970557,0.006988048553466797,1.6715178856335772e-22,15,8.853375867662804e-08
p31,2,nm,Full FD,scalar,12.0,1e-06,random,rand3,58,3.1949839314439744e-09,1000,1000,,True,-,-0.44126477481441895,0.0066339969635009766,4.981624286360372e-19,10,2.77195238954664e-06
p31,2,tr,Full FD,scalar,12.0,1e-06,random,rand3,58,8.97252007550249e-09,16,1000,1000.0,True,-,-0.5348899893949134,0.007567882537841797,1.054486644244472e-18,17,2.6089287499046566e-05
